Category,Agency,Funding Source,FY27 Allocation
Homeless Services,Alameda County Homeless Action Center,MHSA,20000
Homeless Services,Alameda County Homeless Action Center,General Fund (GF),109539
Employment Training,BANANAS Incorporated,General Fund (GF),50000
Childcare,BANANAS Incorporated,General Fund (GF),43333
Housing Development & Rehabilitation,Bay Area Community Land Trust,General Fund (GF),5200
Homeless Services,Bay Area Community Services,GF Measure U1,100000
Homeless Services,Bay Area Community Services,HOME-ARP,200000
Homeless Services,Bay Area Community Services,PLHA,337000
Homeless Services,Bay Area Community Services,General Fund (GF),327453
Homeless Services,Bay Area Community Services,CDBG*,418921
Homeless Services,Bay Area Community Services,ESG*,204132
Homeless Services,Bay Area Community Services,GF Measure P,1235411
Homeless Services,Bay Area Community Services,GF Measure P,1265214
Youth,Bay Area Hispano Institute for Advancement,General Fund (GF),36541
Childcare,Bay Area Hispano Institute for Advancement,Other funds,69934
Childcare,Bay Area Hispano Institute for Advancement,General Fund (GF),80066
Disability Programs,Bay Area Outreach and Recreation Program,General Fund (GF),50592
Arts,Berkeley Art Center,General Fund (GF),77987
Other,Berkeley Community Gardening Collaborative,General Fund (GF),19720
Community Media,Berkeley Community Media,General Fund (GF),17500
Community Media,Berkeley Community Media,General Fund (GF),267210
Youth,Berkeley Community Scholars,General Fund (GF),35000
Economic Development,Berkeley Convention and Visitors Bureau,General Fund (GF),740277
Arts,Berkeley Film Foundation,General Fund (GF),22500
Arts,Berkeley Juneteenth,General Fund (GF),4500
Youth,Berkeley Public Schools Fund,General Fund (GF),25300
Youth,Berkeley Unified School District,General Fund (GF),134328
Health,Berkeley Unified School District,General Fund (GF),452646
Youth,Berkeley Youth Alternatives,General Fund (GF),30000
Youth,Berkeley Youth Alternatives,General Fund (GF),30000
Childcare,Big Oaks Learning Center Inc,Other funds,48614
Childcare,Big Oaks Learning Center Inc,General Fund (GF),54009
Recreation,Big Oaks Learning Center Inc,General Fund (GF),18574
Youth,Big Oaks Learning Center Inc.,General Fund (GF),39840
Youth,Biotech Partners,General Fund (GF),150000
Employment Training,Bread Project,General Fund (GF),70000
Homeless Services,Building Opportunities for Self Sufficiency,General Fund (GF),51383
Homeless Services,Building Opportunities for Self Sufficiency,General Fund (GF),52440
Homeless Services,Building Opportunities for Self Sufficiency,General Fund (GF),86831
Homeless Services,Building Opportunities for Self Sufficiency,General Fund (GF),104662
Homeless Services,Building Opportunities for Self Sufficiency,GF Measure P,233271
Homeless Services,Building Opportunities for Self Sufficiency,GF Measure U1,806137
Housing Development & Rehabilitation,Center for Independent Living,CDBG*,211600
Housing,CHDO Programs,HOME*,28578
Arts,Civic Arts Grants - Arts Orgs and Individual Artist,General Fund (GF),450000
Arts,Civic Arts Grants - Festivals,General Fund (GF),142484
Other,Community Agency Publishing Outcomes Project,General Fund (GF),25000
Homeless Services,Dorothy Day,General Fund (GF),206701
Homeless Services,Dorothy Day,General Fund (GF),290000
Homeless Services,Dorothy Day,GF Measure P,580150
Homeless Services,Dorothy Day,GF Measure P,950000
Homeless Services,Dorothy Day,GF Measure P,650967
Legal/Advocacy,East Bay Community Law Center,General Fund (GF),48556
Disability Programs,Easy Does It,Other funds,1859288
Legal/Advocacy,Eden Council for Hope and Opportunity,CDBG*,35000
Legal/Advocacy,Eviction Defense Center,General Fund (GF),235000
Legal/Advocacy,Eviction Defense Center,GF Measure U1,250000
Legal/Advocacy,Eviction Defense Center,HOME-ARP,312139
Legal/Advocacy,Family Violence Law Center,HOME-ARP,35000
Legal/Advocacy,Family Violence Law Center,General Fund (GF),40000
Youth,Healthy Black Families,General Fund (GF),150000
Childcare,"Healthy Black Families, Inc.",General Fund (GF),90000
Community Facilities Improvements,HHCS Public Facility Improvements NOFA,CDBG*,1053918
Homeless Services,HMIS Support,ESG*,6676
Homeless Services,Insight Housing,General Fund (GF),95000
Homeless Services,Insight Housing,General Fund (GF),119963
Homeless Services,Insight Housing,General Fund (GF),136946
Homeless Services,Insight Housing,General Fund (GF),170502
Homeless Services,Insight Housing,PLHA,172847
Homeless Services,Insight Housing,General Fund (GF),251794
Homeless Services,Insight Housing,GF Measure P,1468050
Employment Training,Inter-City Services,General Fund (GF),101351
Seniors,J-Sei,General Fund (GF),30000
Homeless Services,Larkin Street Youth Services,General Fund (GF),189255
Health,Lifelong Medical Care,General Fund (GF),29855
Health,Lifelong Medical Care,General Fund (GF),114543
Health,Lifelong Medical Care,CSBG*,160000
Homeless Services,Lifelong Medical Care,GF Measure P,61200
Homeless Services,Lifelong Medical Care,General Fund (GF),102829
Homeless Services,Lifelong Medical Care,General Fund (GF),163644
Homeless Services,Lifelong Medical Care,GF Measure P,525000
Employment Training,Multicultural Institute,General Fund (GF),82500
Youth,Multicultural Institute,General Fund (GF),50000
Childcare,Nia House Learning Center,Other funds,47434
Childcare,Nia House Learning Center,General Fund (GF),52566
Homeless Services,Peer Wellness Collective,General Fund (GF),32016
Housing Development & Rehabilitation,Rebuilding Together East Bay - North,General Fund (GF),114164
Community Facilities Improvements,Rebuilding Together East Bay- North,CDBG*,93780
Youth,RISE Program,General Fund (GF),229328
Youth,Stiles Hall,General Fund (GF),100000
Health,Sugar - Sweetened Beverage Panel (POE)**,General Fund (GF),452646
Homeless Services,Telegraph Business Improvement District,General Fund (GF),49139
Disability Programs,Through the Looking Glass,General Fund (GF),35000
Youth,UC Berkeley,General Fund (GF),40000
Youth,UC Berkeley,General Fund (GF),100000
Arts,UC Theater Concert Career Pathways Program,General Fund (GF),45000
Homeless Services,Women's Daytime Drop-In Center,General Fund (GF),48153
Homeless Services,Women's Daytime Drop-In Center,General Fund (GF),100190
Homeless Services,Women's Daytime Drop-In Center,General Fund (GF),118728
